transaction_id,date,product_id,customer_id,quantity,discount_pct,month,month_name,quarter,day_of_week,week_number,product_name,category,base_price,city,tier,age,join_year,revenue,revenue_capped
T00001,2023-12-30,P004,C0026,1,5.0,12,Dec,4,Saturday,52,Monitor,Electronics,349.99,Chicago,Gold,52,2022,332.49,332.49
T00002,2023-01-21,P010,C0034,1,20.0,1,Jan,1,Saturday,3,Notebook,Stationery,9.99,New York,Gold,73,2019,7.99,7.99
T00003,2023-04-17,P006,C0264,1,0.0,4,Apr,2,Monday,16,Webcam,Electronics,89.99,New York,Bronze,51,2023,89.99,89.99
T00004,2023-12-02,P002,C0138,1,5.0,12,Dec,4,Saturday,48,Wireless Mouse,Electronics,29.99,Los Angeles,Bronze,51,2020,28.49,28.49
T00005,2023-10-30,P005,C0304,4,0.0,10,Oct,4,Monday,44,Keyboard,Electronics,79.99,Phoenix,Platinum,54,2021,319.96,319.96
T00006,2023-04-27,P006,C0183,1,5.0,4,Apr,2,Thursday,17,Webcam,Electronics,89.99,New York,Silver,40,2019,85.49,85.49
T00007,2023-05-04,P005,C0363,1,0.0,5,May,2,Thursday,18,Keyboard,Electronics,79.99,Houston,Bronze,67,2022,79.99,79.99
T00008,2023-10-08,P002,C0242,5,0.0,10,Oct,4,Sunday,40,Wireless Mouse,Electronics,29.99,New York,Bronze,72,2019,149.95,149.95
T00009,2023-10-19,P007,C0054,1,5.0,10,Oct,4,Thursday,42,Headphones,Audio,149.99,Phoenix,Silver,21,2020,142.49,142.49
T00010,2023-07-22,P004,C0462,3,0.0,7,Jul,3,Saturday,29,Monitor,Electronics,349.99,Los Angeles,Silver,56,2022,1049.97,689.98
T00011,2023-02-20,P008,C0168,1,0.0,2,Feb,1,Monday,8,Phone Stand,Accessories,19.99,Chicago,Bronze,66,2019,19.99,19.99
T00012,2023-09-28,P007,C0119,1,0.0,9,Sep,3,Thursday,39,Headphones,Audio,149.99,New York,Silver,51,2019,149.99,149.99
T00013,2023-11-20,P007,C0143,4,0.0,11,Nov,4,Monday,47,Headphones,Audio,149.99,Houston,Silver,26,2023,599.96,599.96
T00014,2023-10-04,P009,C0081,1,20.0,10,Oct,4,Wednesday,40,Desk Lamp,Accessories,39.99,Phoenix,Silver,74,2019,31.99,31.99
T00015,2023-05-21,P001,C0245,2,5.0,5,May,2,Sunday,20,Laptop,Electronics,999.99,Chicago,Silver,56,2022,1899.98,689.98
T00016,2023-10-02,P010,C0402,1,10.0,10,Oct,4,Monday,40,Notebook,Stationery,9.99,Phoenix,Silver,25,2020,8.99,8.99
T00017,2023-10-17,P006,C0352,1,0.0,10,Oct,4,Tuesday,42,Webcam,Electronics,89.99,Los Angeles,Bronze,22,2018,89.99,89.99
T00018,2023-11-30,P006,C0358,1,15.0,11,Nov,4,Thursday,48,Webcam,Electronics,89.99,Phoenix,Gold,52,2020,76.49,76.49
T00019,2023-02-21,P006,C0407,1,0.0,2,Feb,1,Tuesday,8,Webcam,Electronics,89.99,New York,Silver,23,2018,89.99,89.99
T00020,2023-01-27,P006,C0062,1,5.0,1,Jan,1,Friday,4,Webcam,Electronics,89.99,Houston,Silver,23,2022,85.49,85.49
T00021,2023-06-06,P010,C0046,3,0.0,6,Jun,2,Tuesday,23,Notebook,Stationery,9.99,New York,Gold,62,2022,29.97,29.97
T00022,2023-08-27,P007,C0087,1,10.0,8,Aug,3,Sunday,34,Headphones,Audio,149.99,New York,Platinum,29,2018,134.99,134.99
T00023,2023-06-05,P010,C0099,1,5.0,6,Jun,2,Monday,23,Notebook,Stationery,9.99,Los Angeles,Silver,19,2019,9.49,9.49
T00024,2023-10-18,P006,C0295,1,0.0,10,Oct,4,Wednesday,42,Webcam,Electronics,89.99,Houston,Bronze,66,2023,89.99,89.99
T00025,2023-05-16,P001,C0399,4,0.0,5,May,2,Tuesday,20,Laptop,Electronics,999.99,Houston,Gold,41,2019,3999.96,689.98
T00026,2023-05-24,P003,C0053,4,5.0,5,May,2,Wednesday,21,USB-C Hub,Electronics,49.99,Houston,Bronze,63,2020,189.96,189.96
T00027,2023-04-16,P002,C0472,2,0.0,4,Apr,2,Sunday,15,Wireless Mouse,Electronics,29.99,Phoenix,Silver,19,2023,59.98,59.98
T00028,2023-06-07,P006,C0192,4,0.0,6,Jun,2,Wednesday,23,Webcam,Electronics,89.99,Phoenix,Bronze,29,2021,359.96,359.96
T00029,2023-05-26,P008,C0447,1,0.0,5,May,2,Friday,21,Phone Stand,Accessories,19.99,Chicago,Silver,55,2019,19.99,19.99
T00030,2023-01-02,P003,C0476,1,5.0,1,Jan,1,Monday,1,USB-C Hub,Electronics,49.99,Phoenix,Silver,44,2023,47.49,47.49
T00031,2023-03-18,P010,C0080,2,10.0,3,Mar,1,Saturday,11,Notebook,Stationery,9.99,Houston,Silver,44,2021,17.98,17.98
T00032,2023-05-12,P008,C0016,2,0.0,5,May,2,Friday,19,Phone Stand,Accessories,19.99,Los Angeles,Bronze,29,2020,39.98,39.98
T00033,2023-03-31,P008,C0360,1,0.0,3,Mar,1,Friday,13,Phone Stand,Accessories,19.99,Phoenix,Bronze,66,2022,19.99,19.99
T00034,2023-12-11,P005,C0487,1,10.0,12,Dec,4,Monday,50,Keyboard,Electronics,79.99,New York,Bronze,23,2021,71.99,71.99
T00035,2023-12-16,P008,C0326,5,5.0,12,Dec,4,Saturday,50,Phone Stand,Accessories,19.99,New York,Gold,28,2021,94.95,94.95
T00036,2023-09-20,P006,C0194,3,0.0,9,Sep,3,Wednesday,38,Webcam,Electronics,89.99,Los Angeles,Silver,43,2023,269.97,269.97
T00037,2023-12-17,P005,C0141,1,10.0,12,Dec,4,Sunday,50,Keyboard,Electronics,79.99,New York,Bronze,19,2021,71.99,71.99
T00038,2023-04-18,P009,C0108,2,0.0,4,Apr,2,Tuesday,16,Desk Lamp,Accessories,39.99,Houston,Gold,46,2021,79.98,79.98
T00039,2023-03-15,P007,C0303,1,0.0,3,Mar,1,Wednesday,11,Headphones,Audio,149.99,New York,Bronze,35,2018,149.99,149.99
T00040,2023-02-08,P008,C0265,1,20.0,2,Feb,1,Wednesday,6,Phone Stand,Accessories,19.99,Houston,Bronze,47,2019,15.99,15.99
T00041,2023-06-08,P001,C0447,1,15.0,6,Jun,2,Thursday,23,Laptop,Electronics,999.99,Chicago,Silver,55,2019,849.99,689.98
T00042,2023-03-12,P002,C0290,1,0.0,3,Mar,1,Sunday,10,Wireless Mouse,Electronics,29.99,Houston,Silver,56,2018,29.99,29.99
T00043,2023-11-08,P008,C0209,1,0.0,11,Nov,4,Wednesday,45,Phone Stand,Accessories,19.99,Houston,Bronze,31,2018,19.99,19.99
T00044,2023-08-29,P009,C0475,3,0.0,8,Aug,3,Tuesday,35,Desk Lamp,Accessories,39.99,Chicago,Gold,63,2020,119.97,119.97
T00045,2023-10-25,P004,C0413,1,0.0,10,Oct,4,Wednesday,43,Monitor,Electronics,349.99,Phoenix,Gold,30,2023,349.99,349.99
T00046,2023-02-05,P010,C0165,2,0.0,2,Feb,1,Sunday,5,Notebook,Stationery,9.99,Chicago,Bronze,36,2023,19.98,19.98
T00047,2023-03-25,P010,C0427,1,0.0,3,Mar,1,Saturday,12,Notebook,Stationery,9.99,New York,Gold,30,2023,9.99,9.99
T00048,2023-09-20,P009,C0342,1,15.0,9,Sep,3,Wednesday,38,Desk Lamp,Accessories,39.99,Houston,Silver,60,2021,33.99,33.99
T00049,2023-11-06,P004,C0371,4,15.0,11,Nov,4,Monday,45,Monitor,Electronics,349.99,Los Angeles,Bronze,30,2022,1189.97,689.98
T00050,2023-06-21,P010,C0320,2,5.0,6,Jun,2,Wednesday,25,Notebook,Stationery,9.99,Chicago,Bronze,60,2019,18.98,18.98
T00051,2023-06-22,P010,C0152,5,5.0,6,Jun,2,Thursday,25,Notebook,Stationery,9.99,New York,Silver,42,2018,47.45,47.45
T00052,2023-12-28,P010,C0455,5,0.0,12,Dec,4,Thursday,52,Notebook,Stationery,9.99,Houston,Bronze,40,2023,49.95,49.95
T00053,2023-02-16,P009,C0290,1,0.0,2,Feb,1,Thursday,7,Desk Lamp,Accessories,39.99,Houston,Silver,56,2018,39.99,39.99
T00054,2023-05-21,P007,C0432,1,0.0,5,May,2,Sunday,20,Headphones,Audio,149.99,New York,Bronze,36,2022,149.99,149.99
T00055,2023-04-28,P002,C0268,3,10.0,4,Apr,2,Friday,17,Wireless Mouse,Electronics,29.99,New York,Bronze,30,2019,80.97,80.97
T00056,2023-10-04,P009,C0151,5,0.0,10,Oct,4,Wednesday,40,Desk Lamp,Accessories,39.99,New York,Silver,59,2021,199.95,199.95
T00057,2023-08-02,P004,C0207,2,15.0,8,Aug,3,Wednesday,31,Monitor,Electronics,349.99,Phoenix,Silver,39,2021,594.98,594.98
T00058,2023-08-08,P008,C0255,3,5.0,8,Aug,3,Tuesday,32,Phone Stand,Accessories,19.99,New York,Bronze,50,2018,56.97,56.97
T00059,2023-01-26,P007,C0353,3,0.0,1,Jan,1,Thursday,4,Headphones,Audio,149.99,New York,Bronze,71,2022,449.97,449.97
T00060,2023-01-09,P007,C0377,1,0.0,1,Jan,1,Monday,2,Headphones,Audio,149.99,Houston,Gold,31,2018,149.99,149.99
T00061,2023-09-28,P008,C0141,2,5.0,9,Sep,3,Thursday,39,Phone Stand,Accessories,19.99,New York,Bronze,19,2021,37.98,37.98
T00062,2023-01-10,P001,C0343,3,15.0,1,Jan,1,Tuesday,2,Laptop,Electronics,999.99,Chicago,Bronze,51,2021,2549.97,689.98
T00063,2023-05-01,P005,C0358,2,10.0,5,May,2,Monday,18,Keyboard,Electronics,79.99,Phoenix,Gold,52,2020,143.98,143.98
T00064,2023-05-05,P002,C0096,1,0.0,5,May,2,Friday,18,Wireless Mouse,Electronics,29.99,Chicago,Bronze,38,2021,29.99,29.99
T00065,2023-06-19,P002,C0429,1,5.0,6,Jun,2,Monday,25,Wireless Mouse,Electronics,29.99,Phoenix,Bronze,50,2018,28.49,28.49
T00066,2023-03-13,P001,C0370,1,0.0,3,Mar,1,Monday,11,Laptop,Electronics,999.99,Phoenix,Gold,55,2021,999.99,689.98
T00067,2023-06-01,P005,C0227,1,20.0,6,Jun,2,Thursday,22,Keyboard,Electronics,79.99,Los Angeles,Bronze,59,2018,63.99,63.99
T00068,2023-07-27,P002,C0193,4,10.0,7,Jul,3,Thursday,30,Wireless Mouse,Electronics,29.99,Houston,Gold,32,2021,107.96,107.96
T00069,2023-02-18,P004,C0303,1,5.0,2,Feb,1,Saturday,7,Monitor,Electronics,349.99,New York,Bronze,35,2018,332.49,332.49
T00070,2023-06-03,P003,C0314,1,0.0,6,Jun,2,Saturday,22,USB-C Hub,Electronics,49.99,New York,Platinum,74,2019,49.99,49.99
T00071,2023-12-13,P003,C0493,1,5.0,12,Dec,4,Wednesday,50,USB-C Hub,Electronics,49.99,Houston,Silver,49,2022,47.49,47.49
T00072,2023-10-20,P002,C0389,2,0.0,10,Oct,4,Friday,42,Wireless Mouse,Electronics,29.99,New York,Bronze,51,2019,59.98,59.98
T00073,2023-03-09,P006,C0377,2,0.0,3,Mar,1,Thursday,10,Webcam,Electronics,89.99,Houston,Gold,31,2018,179.98,179.98
T00074,2023-02-19,P002,C0461,1,0.0,2,Feb,1,Sunday,7,Wireless Mouse,Electronics,29.99,New York,Silver,47,2019,29.99,29.99
T00075,2023-06-01,P008,C0118,1,15.0,6,Jun,2,Thursday,22,Phone Stand,Accessories,19.99,Chicago,Bronze,71,2022,16.99,16.99
T00076,2023-01-19,P008,C0005,1,5.0,1,Jan,1,Thursday,3,Phone Stand,Accessories,19.99,Phoenix,Bronze,19,2021,18.99,18.99
T00077,2023-04-10,P005,C0444,2,0.0,4,Apr,2,Monday,15,Keyboard,Electronics,79.99,Chicago,Silver,59,2023,159.98,159.98
T00078,2023-03-01,P010,C0352,1,15.0,3,Mar,1,Wednesday,9,Notebook,Stationery,9.99,Los Angeles,Bronze,22,2018,8.49,8.49
T00079,2023-06-16,P007,C0243,4,0.0,6,Jun,2,Friday,24,Headphones,Audio,149.99,New York,Bronze,40,2022,599.96,599.96
T00080,2023-07-21,P004,C0021,1,0.0,7,Jul,3,Friday,29,Monitor,Electronics,349.99,Los Angeles,Bronze,47,2021,349.99,349.99
T00081,2023-12-11,P001,C0152,1,0.0,12,Dec,4,Monday,50,Laptop,Electronics,999.99,New York,Silver,42,2018,999.99,689.98
T00082,2023-05-26,P002,C0128,2,5.0,5,May,2,Friday,21,Wireless Mouse,Electronics,29.99,Houston,Gold,53,2023,56.98,56.98
T00083,2023-06-13,P010,C0124,1,5.0,6,Jun,2,Tuesday,24,Notebook,Stationery,9.99,Chicago,Silver,39,2019,9.49,9.49
T00084,2023-08-30,P010,C0146,2,0.0,8,Aug,3,Wednesday,35,Notebook,Stationery,9.99,Houston,Silver,34,2021,19.98,19.98
T00085,2023-03-10,P004,C0277,1,10.0,3,Mar,1,Friday,10,Monitor,Electronics,349.99,Phoenix,Platinum,66,2020,314.99,314.99
T00086,2023-06-24,P001,C0310,2,0.0,6,Jun,2,Saturday,25,Laptop,Electronics,999.99,Phoenix,Silver,32,2021,1999.98,689.98
T00087,2023-02-18,P008,C0394,3,10.0,2,Feb,1,Saturday,7,Phone Stand,Accessories,19.99,New York,Gold,57,2018,53.97,53.97
T00088,2023-04-18,P009,C0152,4,0.0,4,Apr,2,Tuesday,16,Desk Lamp,Accessories,39.99,New York,Silver,42,2018,159.96,159.96
T00089,2023-08-14,P004,C0360,1,10.0,8,Aug,3,Monday,33,Monitor,Electronics,349.99,Phoenix,Bronze,66,2022,314.99,314.99
T00090,2023-06-10,P010,C0111,1,5.0,6,Jun,2,Saturday,23,Notebook,Stationery,9.99,New York,Platinum,57,2018,9.49,9.49
T00091,2023-04-29,P003,C0469,1,5.0,4,Apr,2,Saturday,17,USB-C Hub,Electronics,49.99,New York,Bronze,46,2018,47.49,47.49
T00092,2023-05-29,P002,C0473,4,0.0,5,May,2,Monday,22,Wireless Mouse,Electronics,29.99,Los Angeles,Bronze,49,2019,119.96,119.96
T00093,2023-05-30,P005,C0116,4,5.0,5,May,2,Tuesday,22,Keyboard,Electronics,79.99,Phoenix,Gold,57,2023,303.96,303.96
T00094,2023-10-20,P003,C0188,1,0.0,10,Oct,4,Friday,42,USB-C Hub,Electronics,49.99,New York,Bronze,25,2021,49.99,49.99
T00095,2023-05-23,P010,C0057,1,15.0,5,May,2,Tuesday,21,Notebook,Stationery,9.99,Houston,Bronze,62,2023,8.49,8.49
T00096,2023-06-09,P007,C0251,1,0.0,6,Jun,2,Friday,23,Headphones,Audio,149.99,New York,Silver,39,2021,149.99,149.99
T00097,2023-01-11,P006,C0384,1,0.0,1,Jan,1,Wednesday,2,Webcam,Electronics,89.99,Houston,Platinum,45,2023,89.99,89.99
T00098,2023-05-18,P001,C0407,1,5.0,5,May,2,Thursday,20,Laptop,Electronics,999.99,New York,Silver,23,2018,949.99,689.98
T00099,2023-03-19,P008,C0150,1,10.0,3,Mar,1,Sunday,11,Phone Stand,Accessories,19.99,Houston,Gold,57,2019,17.99,17.99
T00100,2023-03-18,P002,C0452,2,0.0,3,Mar,1,Saturday,11,Wireless Mouse,Electronics,29.99,Houston,Gold,74,2022,59.98,59.98
T00101,2023-09-11,P005,C0162,4,15.0,9,Sep,3,Monday,37,Keyboard,Electronics,79.99,New York,Bronze,55,2019,271.97,271.97
T00102,2023-09-15,P009,C0120,5,20.0,9,Sep,3,Friday,37,Desk Lamp,Accessories,39.99,Los Angeles,Bronze,72,2020,159.96,159.96
T00103,2023-11-16,P008,C0070,1,5.0,11,Nov,4,Thursday,46,Phone Stand,Accessories,19.99,Houston,Platinum,34,2020,18.99,18.99
T00104,2023-10-18,P002,C0412,2,0.0,10,Oct,4,Wednesday,42,Wireless Mouse,Electronics,29.99,Los Angeles,Platinum,22,2018,59.98,59.98
T00105,2023-09-20,P009,C0351,3,10.0,9,Sep,3,Wednesday,38,Desk Lamp,Accessories,39.99,Los Angeles,Silver,22,2019,107.97,107.97
T00106,2023-03-26,P005,C0099,1,0.0,3,Mar,1,Sunday,12,Keyboard,Electronics,79.99,Los Angeles,Silver,19,2019,79.99,79.99
T00107,2023-05-26,P010,C0167,2,0.0,5,May,2,Friday,21,Notebook,Stationery,9.99,Houston,Platinum,61,2023,19.98,19.98
T00108,2023-11-19,P006,C0298,1,15.0,11,Nov,4,Sunday,46,Webcam,Electronics,89.99,Chicago,Silver,31,2019,76.49,76.49
T00109,2023-02-11,P003,C0151,1,20.0,2,Feb,1,Saturday,6,USB-C Hub,Electronics,49.99,New York,Silver,59,2021,39.99,39.99
T00110,2023-05-05,P003,C0326,1,15.0,5,May,2,Friday,18,USB-C Hub,Electronics,49.99,New York,Gold,28,2021,42.49,42.49
T00111,2023-06-16,P010,C0464,1,0.0,6,Jun,2,Friday,24,Notebook,Stationery,9.99,Los Angeles,Silver,35,2021,9.99,9.99
T00112,2023-08-29,P008,C0002,2,0.0,8,Aug,3,Tuesday,35,Phone Stand,Accessories,19.99,Phoenix,Gold,53,2021,39.98,39.98
T00113,2023-10-07,P010,C0152,1,0.0,10,Oct,4,Saturday,40,Notebook,Stationery,9.99,New York,Silver,42,2018,9.99,9.99
T00114,2023-07-07,P010,C0401,1,0.0,7,Jul,3,Friday,27,Notebook,Stationery,9.99,Chicago,Silver,55,2019,9.99,9.99
T00115,2023-10-29,P002,C0365,1,0.0,10,Oct,4,Sunday,43,Wireless Mouse,Electronics,29.99,Houston,Gold,34,2018,29.99,29.99
T00116,2023-01-19,P002,C0065,3,0.0,1,Jan,1,Thursday,3,Wireless Mouse,Electronics,29.99,Los Angeles,Bronze,59,2023,89.97,89.97
T00117,2023-03-09,P005,C0326,1,5.0,3,Mar,1,Thursday,10,Keyboard,Electronics,79.99,New York,Gold,28,2021,75.99,75.99
T00118,2023-08-06,P006,C0069,2,10.0,8,Aug,3,Sunday,31,Webcam,Electronics,89.99,Houston,Bronze,51,2020,161.98,161.98
T00119,2023-04-12,P002,C0121,2,10.0,4,Apr,2,Wednesday,15,Wireless Mouse,Electronics,29.99,Los Angeles,Platinum,64,2022,53.98,53.98
T00120,2023-02-11,P005,C0109,1,10.0,2,Feb,1,Saturday,6,Keyboard,Electronics,79.99,Chicago,Silver,38,2021,71.99,71.99
T00121,2023-10-15,P007,C0316,1,0.0,10,Oct,4,Sunday,41,Headphones,Audio,149.99,Los Angeles,Platinum,21,2023,149.99,149.99
T00122,2023-06-16,P010,C0247,2,0.0,6,Jun,2,Friday,24,Notebook,Stationery,9.99,Houston,Gold,73,2021,19.98,19.98
T00123,2023-04-19,P010,C0434,1,10.0,4,Apr,2,Wednesday,16,Notebook,Stationery,9.99,Chicago,Silver,57,2022,8.99,8.99
T00124,2023-02-05,P008,C0093,1,5.0,2,Feb,1,Sunday,5,Phone Stand,Accessories,19.99,Chicago,Silver,62,2021,18.99,18.99
T00125,2023-08-20,P007,C0268,2,5.0,8,Aug,3,Sunday,33,Headphones,Audio,149.99,New York,Bronze,30,2019,284.98,284.98
T00126,2023-08-17,P008,C0103,1,0.0,8,Aug,3,Thursday,33,Phone Stand,Accessories,19.99,Houston,Silver,68,2018,19.99,19.99
T00127,2023-12-19,P009,C0431,1,0.0,12,Dec,4,Tuesday,51,Desk Lamp,Accessories,39.99,Los Angeles,Bronze,41,2018,39.99,39.99
T00128,2023-06-13,P005,C0451,1,5.0,6,Jun,2,Tuesday,24,Keyboard,Electronics,79.99,Chicago,Bronze,62,2020,75.99,75.99
T00129,2023-03-14,P005,C0112,1,15.0,3,Mar,1,Tuesday,11,Keyboard,Electronics,79.99,Chicago,Gold,28,2023,67.99,67.99
T00130,2023-05-16,P010,C0321,2,15.0,5,May,2,Tuesday,20,Notebook,Stationery,9.99,Los Angeles,Bronze,23,2021,16.98,16.98
T00131,2023-12-19,P004,C0411,2,5.0,12,Dec,4,Tuesday,51,Monitor,Electronics,349.99,Los Angeles,Bronze,45,2020,664.98,664.98
T00132,2023-03-11,P009,C0304,2,5.0,3,Mar,1,Saturday,10,Desk Lamp,Accessories,39.99,Phoenix,Platinum,54,2021,75.98,75.98
T00133,2023-07-15,P005,C0344,2,10.0,7,Jul,3,Saturday,28,Keyboard,Electronics,79.99,Houston,Gold,74,2023,143.98,143.98
T00134,2023-09-26,P002,C0062,1,5.0,9,Sep,3,Tuesday,39,Wireless Mouse,Electronics,29.99,Houston,Silver,23,2022,28.49,28.49
T00135,2023-02-18,P010,C0300,1,5.0,2,Feb,1,Saturday,7,Notebook,Stationery,9.99,New York,Bronze,47,2018,9.49,9.49
T00136,2023-11-12,P008,C0403,1,15.0,11,Nov,4,Sunday,45,Phone Stand,Accessories,19.99,New York,Silver,22,2019,16.99,16.99
T00137,2023-05-10,P007,C0443,1,10.0,5,May,2,Wednesday,19,Headphones,Audio,149.99,Chicago,Bronze,70,2021,134.99,134.99
T00138,2023-01-05,P008,C0136,5,15.0,1,Jan,1,Thursday,1,Phone Stand,Accessories,19.99,Chicago,Bronze,62,2020,84.96,84.96
T00139,2023-01-27,P003,C0055,3,0.0,1,Jan,1,Friday,4,USB-C Hub,Electronics,49.99,Chicago,Bronze,43,2020,149.97,149.97
T00140,2023-06-09,P004,C0108,1,5.0,6,Jun,2,Friday,23,Monitor,Electronics,349.99,Houston,Gold,46,2021,332.49,332.49
T00141,2023-05-29,P005,C0303,1,10.0,5,May,2,Monday,22,Keyboard,Electronics,79.99,New York,Bronze,35,2018,71.99,71.99
T00142,2023-09-21,P006,C0258,1,0.0,9,Sep,3,Thursday,38,Webcam,Electronics,89.99,Phoenix,Silver,59,2022,89.99,89.99
T00143,2023-08-18,P001,C0253,1,10.0,8,Aug,3,Friday,33,Laptop,Electronics,999.99,Houston,Silver,30,2018,899.99,689.98
T00144,2023-07-19,P004,C0222,1,0.0,7,Jul,3,Wednesday,29,Monitor,Electronics,349.99,New York,Silver,47,2023,349.99,349.99
T00145,2023-02-19,P010,C0478,2,10.0,2,Feb,1,Sunday,7,Notebook,Stationery,9.99,New York,Bronze,58,2019,17.98,17.98
T00146,2023-03-08,P005,C0369,3,5.0,3,Mar,1,Wednesday,10,Keyboard,Electronics,79.99,Houston,Bronze,52,2019,227.97,227.97
T00147,2023-10-27,P007,C0167,2,0.0,10,Oct,4,Friday,43,Headphones,Audio,149.99,Houston,Platinum,61,2023,299.98,299.98
T00148,2023-02-27,P005,C0429,1,0.0,2,Feb,1,Monday,9,Keyboard,Electronics,79.99,Phoenix,Bronze,50,2018,79.99,79.99
T00149,2023-09-16,P001,C0160,1,5.0,9,Sep,3,Saturday,37,Laptop,Electronics,999.99,Chicago,Bronze,68,2022,949.99,689.98
T00150,2023-12-08,P007,C0449,2,5.0,12,Dec,4,Friday,49,Headphones,Audio,149.99,New York,Bronze,22,2022,284.98,284.98
T00151,2023-11-22,P008,C0166,3,0.0,11,Nov,4,Wednesday,47,Phone Stand,Accessories,19.99,Los Angeles,Silver,54,2019,59.97,59.97
T00152,2023-05-10,P007,C0205,3,15.0,5,May,2,Wednesday,19,Headphones,Audio,149.99,Houston,Bronze,43,2023,382.47,382.47
T00153,2023-08-03,P004,C0267,4,5.0,8,Aug,3,Thursday,31,Monitor,Electronics,349.99,Houston,Bronze,30,2020,1329.96,689.98
T00154,2023-06-21,P008,C0138,2,5.0,6,Jun,2,Wednesday,25,Phone Stand,Accessories,19.99,Los Angeles,Bronze,51,2020,37.98,37.98
T00155,2023-09-15,P005,C0368,2,0.0,9,Sep,3,Friday,37,Keyboard,Electronics,79.99,Chicago,Gold,49,2021,159.98,159.98
T00156,2023-04-12,P010,C0443,1,15.0,4,Apr,2,Wednesday,15,Notebook,Stationery,9.99,Chicago,Bronze,70,2021,8.49,8.49
T00157,2023-07-28,P009,C0346,2,0.0,7,Jul,3,Friday,30,Desk Lamp,Accessories,39.99,Los Angeles,Silver,58,2020,79.98,79.98
T00158,2023-10-18,P010,C0248,1,5.0,10,Oct,4,Wednesday,42,Notebook,Stationery,9.99,New York,Silver,66,2021,9.49,9.49
T00159,2023-12-20,P005,C0055,1,10.0,12,Dec,4,Wednesday,51,Keyboard,Electronics,79.99,Chicago,Bronze,43,2020,71.99,71.99
T00160,2023-10-13,P001,C0404,2,0.0,10,Oct,4,Friday,41,Laptop,Electronics,999.99,Phoenix,Gold,65,2023,1999.98,689.98
T00161,2023-04-26,P009,C0209,1,5.0,4,Apr,2,Wednesday,17,Desk Lamp,Accessories,39.99,Houston,Bronze,31,2018,37.99,37.99
