transaction_id,date,product_id,customer_id,quantity,discount_pct
T00001,2023-12-30,P004,C0026,1.0,5.0
T00002,2023-01-21,P010,C0034,1.0,20.0
T00003,2023-04-17,P006,C0264,1.0,0.0
T00004,2023-12-02,P002,C0138,1.0,5.0
T00005,2023-10-30,P005,C0304,4.0,0.0
T00006,2023-04-27,P006,C0183,1.0,5.0
T00007,2023-05-04,P005,C0363,1.0,0.0
T00008,2023-10-08,P002,C0242,5.0,0.0
T00009,2023-10-19,P007,C0054,1.0,5.0
T00010,2023-07-22,P004,C0462,3.0,0.0
T00011,2023-02-20,P008,C0168,1.0,0.0
T00012,2023-09-28,P007,C0119,1.0,0.0
T00013,2023-11-20,P007,C0143,4.0,0.0
T00014,2023-10-04,P009,C0081,1.0,20.0
T00015,2023-05-21,P001,C0245,2.0,5.0
T00016,2023-10-02,P010,C0402,1.0,10.0
T00017,2023-10-17,P006,C0352,1.0,0.0
T00018,2023-11-30,P006,C0358,1.0,15.0
T00019,2023-02-21,P006,C0407,1.0,0.0
T00020,2023-01-27,P006,C0062,1.0,5.0
T00021,2023-06-06,P010,C0046,3.0,0.0
T00022,2023-08-27,P007,C0087,1.0,10.0
T00023,2023-06-05,P010,C0099,1.0,5.0
T00024,2023-10-18,P006,C0295,1.0,0.0
T00025,2023-05-16,P001,C0399,4.0,0.0
T00026,2023-05-24,P003,C0053,4.0,5.0
T00027,2023-04-16,P002,C0472,2.0,0.0
T00028,2023-06-07,P006,C0192,4.0,0.0
T00029,2023-05-26,P008,C0447,1.0,0.0
T00030,2023-01-02,P003,C0476,1.0,5.0
T00031,2023-03-18,P010,C0080,2.0,10.0
T00032,2023-05-12,P008,C0016,2.0,0.0
T00033,2023-03-31,P008,C0360,1.0,0.0
T00034,2023-12-11,P005,C0487,1.0,10.0
T00035,2023-12-16,P008,C0326,5.0,5.0
T00036,2023-09-20,P006,C0194,3.0,0.0
T00037,2023-12-17,P005,C0141,1.0,10.0
T00038,2023-04-18,P009,C0108,2.0,0.0
T00039,2023-03-15,P007,C0303,1.0,0.0
T00040,2023-02-08,P008,C0265,1.0,20.0
T00041,2023-06-08,P001,C0447,1.0,15.0
T00042,2023-03-12,P002,C0290,1.0,0.0
T00043,2023-11-08,P008,C0209,1.0,0.0
T00044,2023-08-29,P009,C0475,3.0,0.0
T00045,2023-10-25,P004,C0413,1.0,0.0
T00046,2023-02-05,P010,C0165,2.0,0.0
T00047,2023-03-25,P010,C0427,1.0,0.0
T00048,2023-09-20,P009,C0342,1.0,15.0
T00049,2023-11-06,P004,C0371,4.0,15.0
T00050,2023-06-21,P010,C0320,2.0,5.0
T00051,2023-06-22,P010,C0152,5.0,5.0
T00052,2023-12-28,P010,C0455,5.0,0.0
T00053,2023-02-16,P009,C0290,1.0,0.0
T00054,2023-05-21,P007,C0432,1.0,0.0
T00055,2023-04-28,P002,C0268,3.0,10.0
T00056,2023-10-04,P009,C0151,5.0,0.0
T00057,2023-08-02,P004,C0207,2.0,15.0
T00058,2023-08-08,P008,C0255,3.0,5.0
T00059,2023-01-26,P007,C0353,3.0,0.0
T00060,2023-01-09,P007,C0377,1.0,0.0
T00061,2023-09-28,P008,C0141,2.0,5.0
T00062,2023-01-10,P001,C0343,3.0,15.0
T00063,2023-05-01,P005,C0358,2.0,10.0
T00064,2023-05-05,P002,C0096,1.0,0.0
T00065,2023-06-19,P002,C0429,1.0,5.0
T00066,2023-03-13,P001,C0370,1.0,0.0
T00067,2023-06-01,P005,C0227,1.0,20.0
T00068,2023-07-27,P002,C0193,4.0,10.0
T00069,2023-02-18,P004,C0303,1.0,5.0
T00070,2023-06-03,P003,C0314,1.0,0.0
T00071,2023-12-13,P003,C0493,1.0,5.0
T00072,2023-10-20,P002,C0389,2.0,0.0
T00073,2023-03-09,P006,C0377,2.0,0.0
T00074,2023-02-19,P002,C0461,1.0,0.0
T00075,2023-06-01,P008,C0118,1.0,15.0
